City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Outjo,NA,2021-10-10 04:56:02,-20.1167,16.15,65.82,9,0,11.12
102,Pau Brasil,BR,2021-10-10 04:56:02,-15.4642,-39.6511,68.81,92,96,1.5
103,Maroantsetra,MG,2021-10-10 04:56:03,-15.4333,49.7333,70.57,76,48,1.03
104,Hamilton,US,2021-10-10 04:53:59,39.1834,-84.5333,71.37,84,77,1.01
105,Jiayuguan,CN,2021-10-10 04:56:03,39.8167,98.3,50.83,15,0,14.38
106,Provideniya,RU,2021-10-10 04:54:43,64.3833,-173.3,29.17,81,78,4.56
107,Beruwala,LK,2021-10-10 04:56:03,6.4788,79.9828,82.56,78,100,10.13
108,Isangel,VU,2021-10-10 04:53:28,-19.55,169.2667,77.11,61,27,5.75
109,Dunedin,NZ,2021-10-10 04:53:34,-45.8742,170.5036,52.81,79,28,11.01
110,Santa Cruz Cabralia,BR,2021-10-10 04:52:10,-16.2781,-39.0247,71.83,94,75,2.3
111,Hermanus,ZA,2021-10-10 04:52:30,-34.4187,19.2345,54.81,79,2,11.39
112,Rikitea,PF,2021-10-10 04:52:26,-23.1203,-134.9692,74.84,82,100,18.77
113,Bredasdorp,ZA,2021-10-10 04:52:50,-34.5322,20.0403,54.28,93,1,3.44
114,Virtsu,EE,2021-10-10 04:56:04,58.5716,23.5115,52.05,93,98,14.76
115,Never,FR,2021-10-10 04:56:05,46.9896,3.159,46.65,90,3,2.37
116,Faanui,PF,2021-10-10 04:54:19,-16.4833,-151.75,79.29,70,14,8.34
117,Devils Lake,US,2021-10-10 04:56:05,48.1128,-98.8651,49.95,95,100,11.01
118,Palmer,US,2021-10-10 04:52:51,42.1584,-72.3287,57.61,76,90,1.01
119,Salalah,OM,2021-10-10 04:53:06,17.0151,54.0924,82.69,68,71,4.79
120,Altus,US,2021-10-10 04:56:06,34.6381,-99.334,80.67,44,1,16.11
121,Mayor Pablo Lagerenza,PY,2021-10-10 04:56:06,-19.9309,-60.7718,71.8,87,64,8.77
122,Darnah,LY,2021-10-10 04:56:06,32.767,22.6367,72.64,68,0,7.56
123,Santa Clarita,US,2021-10-10 04:56:07,34.3917,-118.5426,64.35,44,0,1.01
124,Ribeira Grande,PT,2021-10-10 04:52:29,38.5167,-28.7,71.4,86,100,23.44
125,San Quintin,MX,2021-10-10 04:54:31,30.4833,-115.95,64.63,81,0,14.85
126,Saint-Pierre,RE,2021-10-10 04:56:07,-21.3393,55.4781,76.28,64,20,3.44
127,Gladstone,AU,2021-10-10 04:56:07,-23.85,151.25,80.78,57,0,12.66
128,Derzhavinsk,KZ,2021-10-10 04:56:08,51.1,66.3167,46.22,57,48,5.1
129,Port Elizabeth,ZA,2021-10-10 04:53:13,-33.918,25.5701,56.1,88,90,4.61
130,Broken Hill,AU,2021-10-10 04:56:08,-31.95,141.4333,55.11,62,90,18.41
131,Muskogee,US,2021-10-10 04:51:42,35.5834,-95.3336,79.45,59,9,12.12
132,Tevaitoa,PF,2021-10-10 04:56:08,-16.7833,-151.5,79.03,69,20,6.89
133,Mahebourg,MU,2021-10-10 04:53:08,-20.4081,57.7,76.24,83,75,11.5
134,Hohhot,CN,2021-10-10 04:56:09,40.8106,111.6522,48.49,37,0,6.71
135,Nanortalik,GL,2021-10-10 04:54:15,60.1432,-45.2371,35.6,72,20,9.31
136,Kruisfontein,ZA,2021-10-10 04:52:59,-34.0033,24.7314,53.89,73,66,4.52
137,Georgetown,MY,2021-10-10 04:52:41,5.4112,100.3354,89.89,70,20,1.99
138,La Rioja,ES,2021-10-10 04:56:09,42.25,-2.5,49.48,92,56,3.78
139,Qaanaaq,GL,2021-10-10 04:52:35,77.484,-69.3632,29.48,72,100,13.94
140,Manggar,ID,2021-10-10 04:56:10,-2.8833,108.2667,86.38,67,65,11.72
141,Sorochinsk,RU,2021-10-10 04:56:10,52.4338,53.1583,44.64,72,30,5.1
142,Waiouru,NZ,2021-10-10 04:56:10,-39.4833,175.6667,46.62,85,81,5.35
143,Ketchikan,US,2021-10-10 04:49:15,55.3422,-131.6461,46.38,93,90,3.44
144,Kapaa,US,2021-10-10 04:52:25,22.0752,-159.319,79.12,71,75,7.0
145,Yerbogachen,RU,2021-10-10 04:53:18,61.2767,108.0108,34.47,87,100,18.34
146,Biak,ID,2021-10-10 04:54:23,-0.9131,122.8766,83.01,70,96,5.37
147,Sechura,PE,2021-10-10 04:56:11,-5.5569,-80.8222,65.84,80,80,9.62
148,Ponta Do Sol,PT,2021-10-10 04:53:21,32.6667,-17.1,71.01,76,20,5.23
149,Nuuk,GL,2021-10-10 04:53:20,64.1835,-51.7216,32.88,80,100,3.0
150,Coquimbo,CL,2021-10-10 04:53:21,-29.9533,-71.3436,53.33,76,0,3.44
151,Rosetta,EG,2021-10-10 04:56:11,31.4044,30.4164,66.02,69,0,11.27
152,Avera,US,2021-10-10 04:53:16,33.194,-82.5271,68.05,92,5,7.43
153,Kaitangata,NZ,2021-10-10 04:53:37,-46.2817,169.8464,58.93,79,38,8.81
154,Gusinoye Ozero,RU,2021-10-10 04:56:12,51.1144,106.2614,48.38,38,17,6.89
155,Oranjemund,NA,2021-10-10 04:54:44,-28.55,16.4333,63.99,45,10,7.83
156,Kalianget,ID,2021-10-10 04:54:54,-7.05,113.9333,86.92,54,70,6.26
157,Itarema,BR,2021-10-10 04:53:08,-2.9248,-39.9167,79.02,79,60,15.61
158,Lyuban,BY,2021-10-10 04:56:13,52.7985,28.0048,34.93,84,9,4.23
159,Kaeo,NZ,2021-10-10 04:50:09,-35.1,173.7833,62.33,67,49,9.93
160,Castro,BR,2021-10-10 04:53:17,-24.7911,-50.0119,55.08,98,100,8.81
161,La Asuncion,VE,2021-10-10 04:56:13,11.0333,-63.8628,78.67,88,16,5.79
162,Uitenhage,ZA,2021-10-10 04:56:13,-33.7576,25.3971,55.42,70,68,1.36
163,Aklavik,CA,2021-10-10 04:56:14,68.2191,-135.0107,31.03,98,98,5.5
164,Constitucion,CL,2021-10-10 04:53:33,-35.3333,-72.4167,52.09,83,94,3.13
165,Ayan,RU,2021-10-10 04:54:58,56.45,138.1667,44.02,60,99,9.91
166,Sohag,EG,2021-10-10 04:56:14,26.557,31.6948,71.89,43,0,9.64
167,Tuktoyaktuk,CA,2021-10-10 04:52:26,69.4541,-133.0374,30.2,80,90,6.91
168,Grand Island,US,2021-10-10 04:56:15,40.925,-98.342,63.3,73,97,9.37
169,Kahului,US,2021-10-10 04:56:00,20.8947,-156.47,76.26,95,54,11.99
170,Gat,IL,2021-10-10 04:52:31,31.61,34.7642,72.39,63,0,4.27
171,Griffith,US,2021-10-10 04:55:51,41.5284,-87.4237,75.06,77,1,3.0
172,Ornskoldsvik,SE,2021-10-10 04:56:15,63.2909,18.7153,46.22,100,90,0.0
173,Arraial Do Cabo,BR,2021-10-10 04:50:18,-22.9661,-42.0278,67.19,85,100,17.67
174,Goderich,CA,2021-10-10 04:53:35,43.7501,-81.7165,65.91,88,23,8.05
175,Sept-Iles,CA,2021-10-10 04:55:59,50.2001,-66.3821,30.72,93,1,2.3
176,Praya,CV,2021-10-10 04:56:07,14.9215,-23.5087,77.54,83,20,6.91
177,East London,ZA,2021-10-10 04:53:06,-33.0153,27.9116,58.14,82,20,12.66
178,Coihaique,CL,2021-10-10 04:53:37,-45.5752,-72.0662,53.55,54,0,6.91
179,Lata,PT,2021-10-10 04:52:59,40.1629,-8.3327,59.04,52,63,4.34
180,Buzmeyin,TM,2021-10-10 04:56:16,38.0507,58.2056,53.33,32,0,2.3
181,Katsuura,JP,2021-10-10 04:52:38,35.1333,140.3,75.24,72,28,11.45
182,Disna,BY,2021-10-10 04:56:17,55.568,28.1971,35.42,77,6,4.14
183,Alofi,NU,2021-10-10 04:54:39,-19.0595,-169.9187,78.69,83,100,9.22
184,Laredo,US,2021-10-10 04:56:17,27.5064,-99.5075,82.4,66,2,17.94
185,Reftinskiy,RU,2021-10-10 04:56:17,57.0901,61.6769,37.8,67,96,5.86
186,Saint-Philippe,RE,2021-10-10 04:52:42,-21.3585,55.7679,76.21,80,59,14.05
187,Lorengau,PG,2021-10-10 04:54:01,-2.0226,147.2712,82.11,76,100,2.21
188,Altamont,US,2021-10-10 04:56:18,42.2068,-121.7372,45.77,66,8,5.68
189,Sri Aman,MY,2021-10-10 04:56:18,1.2376,111.4621,91.45,75,40,3.44
