City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
556,Tarakan,ID,80.1,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
560,Kerema,PG,75.33,overcast clouds,-7.9631,145.7785,Frena Lodge
563,Garowe,SO,82.54,overcast clouds,8.4054,48.4845,Curubo Hotel
564,Ayna,PE,88.3,broken clouds,-12.65,-73.9167,
567,Eyl,SO,78.55,broken clouds,7.9803,49.8164,Amiin Hotel
570,Majene,ID,77.92,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
572,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
578,Lazaro Cardenas,MX,85.48,overcast clouds,17.9583,-102.2,quinta antigua
581,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,Poutur Pousada
583,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
589,Sorong,ID,79.32,overcast clouds,-0.8833,131.25,waigo splash hotel
590,Luba,GQ,78.06,overcast clouds,3.4568,8.5547,
591,Cumana,VE,82.53,overcast clouds,10.4635,-64.1775,Posada Acuarela Los Roques
592,Kupang,ID,75.43,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
594,Samarai,PG,79.29,overcast clouds,-10.6167,150.6667,Nuli Sapi
599,Laguna,US,80.69,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
601,Adrar,MR,89.04,overcast clouds,20.5022,-10.0711,
603,Wad Rawah,SD,78.69,overcast clouds,15.1603,33.1397,ود الترابي
605,Ibra,OM,81.77,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
606,Labuhan,ID,77.54,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
611,Sao Gabriel Da Cachoeira,BR,81.93,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
612,Diffa,NE,89.76,overcast clouds,13.3154,12.6113,ProDAF/Diffa
