City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Itambacuri,BR,-18.0311,-41.685,69.66,88,99,4.52,overcast clouds
112,Sisimiut,GL,66.9395,-53.6735,35.76,73,100,6.35,overcast clouds
113,Roma,US,43.2128,-75.4557,74.43,69,90,8.05,overcast clouds
114,Caravelas,BR,-17.7125,-39.2481,73.06,89,100,8.01,overcast clouds
115,Avarua,CK,-21.2078,-159.775,77.05,73,100,9.22,overcast clouds
116,Itarema,BR,-2.9248,-39.9167,79.56,76,8,18.1,clear sky
117,Deputatskiy,RU,69.3,139.9,19.11,85,100,3.74,overcast clouds
118,Clyde River,CA,70.4692,-68.5914,37.63,75,90,5.75,overcast clouds
119,Sola,VU,-13.8833,167.55,79.02,80,68,17.11,broken clouds
120,Catemaco,MX,18.4167,-95.1167,87.55,74,40,1.77,scattered clouds
121,Mahebourg,MU,-20.4081,57.7,71.89,94,75,6.91,light rain
122,Gikongoro,RW,-2.464,29.5739,62.13,80,100,3.31,overcast clouds
123,Ouadda,CF,8.0777,22.4007,71.02,94,89,3.67,light rain
124,Chuy,UY,-33.6971,-53.4616,60.58,78,95,15.61,overcast clouds
125,Kahului,US,20.8947,-156.47,83.46,74,40,21.85,scattered clouds
126,Verkhoyansk,RU,67.5447,133.385,34.09,62,100,5.32,overcast clouds
127,Bacolod,PH,10.6667,122.95,78.62,91,97,18.16,overcast clouds
128,Severo-Kurilsk,RU,50.6789,156.125,47.84,94,100,27.76,moderate rain
129,Nikolskoye,RU,59.7035,30.7861,51.4,68,15,8.52,few clouds
130,Marsh Harbour,BS,26.5412,-77.0636,82.96,61,21,4.97,few clouds
131,Shenkursk,RU,62.1091,42.896,49.75,84,100,9.89,overcast clouds
132,Longyearbyen,SJ,78.2186,15.6401,24.64,80,75,5.75,broken clouds
133,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,94,90,13.8,light intensity drizzle
134,Antalaha,MG,-14.9003,50.2788,66.54,81,33,7.4,scattered clouds
135,Saint-Philippe,RE,-21.3585,55.7679,71.15,88,8,6.8,clear sky
136,Tasiilaq,GL,65.6145,-37.6368,33.96,57,1,2.84,clear sky
137,Aswan,EG,24.0934,32.907,96.1,21,0,11.5,clear sky
138,Kununurra,AU,-15.7667,128.7333,80.58,69,90,1.14,overcast clouds
139,Busselton,AU,-33.65,115.3333,54.09,73,96,15.12,overcast clouds
140,Santa Maria,BR,-29.6842,-53.8069,76.3,65,20,13.8,few clouds
141,Grand-Lahou,CI,5.1367,-5.0242,78.06,89,99,8.59,overcast clouds
142,Pemba,MZ,-12.974,40.5178,77.7,83,20,11.5,few clouds
143,Port Alfred,ZA,-33.5906,26.891,60.24,70,17,24.7,few clouds
144,Abu Samrah,SY,35.3029,37.1841,73.9,22,44,2.21,scattered clouds
145,Ossora,RU,59.2353,163.0719,33.17,72,13,3.15,few clouds
146,Salalah,OM,17.0151,54.0924,80.69,83,75,5.75,broken clouds
147,Mecca,SA,21.4267,39.8261,86.83,44,2,2.8,clear sky
148,Mezen,RU,65.8522,44.24,44.71,99,100,4.79,overcast clouds
149,Pore,CO,5.7272,-71.9947,79.09,88,100,1.23,overcast clouds
150,Noshiro,JP,40.2039,140.0242,68.05,92,92,15.82,overcast clouds
151,Ponta Do Sol,PT,32.6667,-17.1,73.0,73,15,5.46,few clouds
152,Lata,PT,40.1629,-8.3327,68.07,53,15,4.59,few clouds
153,Dikson,RU,73.5069,80.5464,29.88,66,100,22.55,overcast clouds
154,Coihaique,CL,-45.5752,-72.0662,54.21,58,75,4.61,broken clouds
155,Khatanga,RU,71.9667,102.5,16.52,96,100,5.1,light snow
156,Williston,US,48.147,-103.618,68.58,32,0,5.01,clear sky
157,Bayevo,RU,53.2833,80.7667,43.07,78,100,5.12,overcast clouds
158,Altamira,BR,-3.2033,-52.2064,91.49,62,75,5.75,broken clouds
159,Kruisfontein,ZA,-34.0033,24.7314,52.84,76,41,6.2,scattered clouds
160,Ambo,PE,-10.1308,-76.2047,74.3,55,54,11.07,broken clouds
161,Kalmunai,LK,7.4167,81.8167,80.74,78,97,4.68,overcast clouds
162,Pimentel,PE,-6.8367,-79.9342,68.29,68,0,18.41,clear sky
163,Torbay,CA,47.6666,-52.7314,46.27,76,40,21.85,scattered clouds
164,Dudinka,RU,69.4058,86.1778,23.68,93,100,6.73,overcast clouds
165,Payo,ID,-3.7508,103.6372,76.15,84,100,1.43,light rain
166,Marquard,ZA,-28.6645,27.4305,54.95,35,0,10.07,clear sky
